T,N,degree,epsilon,m_psi
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,2.500000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,3.000000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,3.500000000000000333e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,4.500000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,5.000000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,5.500000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,6.000000000000000888e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,6.500000000000000222e-01,6.747549999999999729e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,7.000000000000000666e-01,3.267369999999999910e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,7.500000000000000000e-01,2.512519999999999858e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,8.000000000000000444e-01,1.164759999999999927e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,8.500000000000000888e-01,6.427479999999999522e-04
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,9.000000000000000222e-01,2.200419999999999807e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,9.500000000000000666e-01,3.640930000000000121e-04
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,1.000000000000000000e+00,5.288489999999999641e-04
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,5.000000000000000278e-02,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,1.500000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,2.500000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,3.000000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,3.500000000000000333e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,4.500000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,5.000000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,5.500000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,6.000000000000000888e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,6.500000000000000222e-01,1.073819999999999983e-02
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,7.000000000000000666e-01,2.230370000000000182e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,7.500000000000000000e-01,1.944699999999999944e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,8.000000000000000444e-01,1.800869999999999988e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,8.500000000000000888e-01,1.294629999999999956e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,9.000000000000000222e-01,2.855529999999999787e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,9.500000000000000666e-01,2.184789999999999822e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.200000000000000000e+01,1.000000000000000000e+00,4.953400000000000381e-04
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,5.000000000000000278e-02,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,1.500000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,2.500000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,3.000000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,3.500000000000000333e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,4.500000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,5.000000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,5.500000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,6.000000000000000888e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,6.500000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,7.000000000000000666e-01,3.978520000000000147e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,7.500000000000000000e-01,9.799929999999999666e-04
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,8.000000000000000444e-01,2.402140000000000091e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,8.500000000000000888e-01,9.033479999999999982e-04
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,9.000000000000000222e-01,2.310759999999999811e-03
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,9.500000000000000666e-01,9.106399999999999955e-04
2.999999999999999889e-01,8.000000000000000000e+02,2.600000000000000000e+01,1.000000000000000000e+00,1.172199999999999978e-03
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,5.000000000000000278e-02,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,1.500000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,2.500000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,3.000000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,3.500000000000000333e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,3.000000000000000000e+01,4.500000000000000111e-01,1.000000000000000000e+00
